,"\rot{MuJava/$\mu$-java/Muclipse\CHANGE{yellow}{}{~\cite{ma2005description_method,ma2005description_class,mujava2018}}}","\rot{PIT/PiTest\CHANGE{yellow}{}{~\cite{pit2016,pit2018}}}","\rot{JAVALANCHE\CHANGE{yellow}{}{~\cite{schuler2009javalanche,javalanche2018}}}","\rot{MAJOR\CHANGE{yellow}{}{~\cite{major2017,major2018}}}",\rot{Jumble~\cite{jumble2017}},\rot{Sofya~\cite{sofya2017}},\rot{Jester~\cite{moore2001jester}},"\rot{Proteum\CHANGE{yellow}{}{~\cite{agrawal1989design,proteum2018}}}",\rot{MiLu~\cite{milu2017}},\rot{SMT-C~\cite{clark2010semantic}},"\rot{Proteum/IM\CHANGE{yellow}{}{~\cite{delamaro2001proteum,proteumim2018}}}",\rot{Mothra~\cite{king1991fortran}},\rot{SQLMutation/JDAMA~\cite{tuya2007mutating}},\rot{SchemaAnalyst~\cite{wright2015mutation}},\rot{GenMutants~\cite{genmutants2017}},\rot{PexMutator~\cite{pexmutator2017}},\rot{MUTANDIS~\cite{mirshokraie2013efficient}},\rot{AjMutator~\cite{delamare2009ajmutator}},\rot{MoMuT::UML~\cite{krenn2015momut}}
Specification Mutation ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$\surd$
arithmetic operator ,$\surd$,$\surd^*$,$\surd^*$,$\surd^*$,$\surd^*$,$\surd^*$,-,$\surd$,$\surd^*$,$\surd^*$,-,$\surd^*$,$\surd^*$,-,$\surd^*$,$\surd^*$,$\surd^*$,-,-
relational operator ,$\surd$,$\surd^*$,-,$\surd$,-,$\surd^*$,-,$\surd$,$\surd$,$\surd^*$,-,$\surd$,$\surd$,-,$\surd$,$\surd$,$\surd$,-,-
conditional operator ,$\surd$,$\surd^*$,$\surd^*$,\CHANGE{yellow}{}{$\surd^*$},$\surd^*$,$\surd^*$,-,$\surd$,$\surd$,-,-,$\surd$,$\surd$,-,$\surd$,$\surd$,$\surd^*$,-,-
assignment operator ,$\surd$,$\surd^*$,-,\CHANGE{yellow}{}{$\surd^*$},-,-,-,-,$\surd$,$\surd^*$,-,-,-,-,-,-,-,-,-
bitwise operator ,$\surd$,$\surd^*$,-,\CHANGE{yellow}{}{$\surd$},$\surd^*$,-,-,$\surd$,$\surd^*$,-,-,-,-,-,-,-,-,-,-
shift operator ,$\surd$,$\surd^*$,-,$\surd$,$\surd^*$,-,-,$\surd$,-,-,-,-,-,-,-,-,-,-,-
constant ,\CHANGE{yellow}{}{$\surd^*$},$\surd$,$\surd$,\CHANGE{yellow}{}{$\surd$},$\surd$,-,$\surd^*$,$\surd$,$\surd$,$\surd^*$,-,$\surd$,$\surd$,-,-,-,$\surd$,-,-
variable ,\CHANGE{yellow}{}{$\surd^*$},$\surd$,\CHANGE{yellow}{}{$\surd$},\CHANGE{yellow}{}{$\surd^*$},$\surd^*$,-,-,$\surd$,-,-,-,$\surd$,$\surd$,-,-,-,$\surd$,-,-
absolute value ,-,-,\CHANGE{yellow}{}{$\surd$},\CHANGE{yellow}{}{$\surd$},-,-,-,-,$\surd^*$,-,-,$\surd$,$\surd$,-,$\surd$,$\surd$,-,-,-
conditional expression ,-,$\surd$,\CHANGE{yellow}{}{$\surd$},\CHANGE{yellow}{}{$\surd$},-,-,$\surd$,$\surd$,-,-,-,-,-,-,-,-,-,-,-
parenthesis,-,-,-,-,-,-,-,$\surd$,-,$\surd^*$,-,-,-,-,-,-,-,-,-
type ,-,-,-,-,-,-,-,$\surd$,-,-,-,-,-,-,-,-,$\surd^*$,-,-
statement deletion ,\CHANGE{yellow}{}{$\surd$},$\surd^*$,$\surd^*$,\CHANGE{yellow}{}{$\surd^*$},-,-,-,$\surd$,$\surd$,-,-,$\surd$,-,-,-,-,$\surd^*$,-,-
method call ,-,-,-,\CHANGE{yellow}{}{$\surd$},-,$\surd^*$,-,-,-,$\surd^*$,-,-,-,-,-,-,$\surd^*$,-,-
return statement ,-,$\surd$,-,\CHANGE{yellow}{}{$\surd$},$\surd$,-,-,$\surd$,-,-,-,$\surd$,-,-,-,-,$\surd$,-,-
if statement,-,-,-,-,-,-,-,-,-,$\surd^*$,-,-,-,-,-,-,-,-,-
exception handler ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
goto label ,-,-,-,-,-,-,-,$\surd$,-,-,-,$\surd$,-,-,-,-,-,-,-
control-flow disruption ,-,-,-,\CHANGE{yellow}{}{$\surd$},-,-,-,$\surd$,-,-,-,-,-,-,-,-,$\surd$,-,-
statement swap ,-,-,-,-,-,-,-,$\surd$,-,-,-,-,-,-,-,-,$\surd^*$,-,-
bomb statement ,-,-,-,-,-,-,-,$\surd$,-,-,-,$\surd$,-,-,-,-,-,-,-
switch statement ,-,$\surd$,-,-,$\surd$,-,-,$\surd$,-,$\surd$,-,-,-,-,-,-,$\surd$,-,-
do statement ,-,-,-,-,-,-,-,-,-,-,-,$\surd$,-,-,-,-,-,-,-
brace ,-,-,-,-,-,-,-,$\surd$,-,-,-,-,-,-,-,-,-,-,-
loop trap ,-,-,-,-,-,-,-,$\surd$,-,-,-,-,-,-,-,-,-,-,-
while statement ,-,-,-,-,-,-,-,$\surd$,-,-,-,-,-,-,-,-,-,-,-
OO-specific ,$\surd$,$\surd^*$,-,-,-,$\surd^*$,-,-,-,-,-,-,-,-,-,-,-,-,-
Java-specific ,$\surd$,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SQL-specific ,-,-,-,-,-,-,-,-,-,-,-,-,$\surd$,$\surd$,-,-,-,-,-
JavaScript-specific ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$\surd$,-,-
AOP-specific,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,$\surd$,-
interface mutation,-,-,-,-,-,-,-,-,-,-,$\surd$,-,-,-,-,-,-,-,-
